Test;C3;H1;2.32044471957238E-05;1;1;46.71669
Test;C3;H1;7.33098976216651E-05;1;1;46.71669
Test;C3;H1;9.68487908552529E-05;1;1;46.71669
Test;C3;H2;0.000205215358968364;2;3;46.71669
Test;C3;H2;0.000411635615368555;1;1;46.71669
Test;C3;H2;0.000436755820190149;1;1;46.71669
Test;C3;H3;0.000439584458578113;1;3;46.71669
Test;C3;H3;0.00163035858719321;2;5;46.71669
Test;C3;H3;0.00331975003405988;1;1;46.71669
P1;C3;H1;1.65235744462033E-05;1;1;45.3777
P1;C3;H1;3.3266423787176E-05;2;1;45.3777
P1;C3;H1;7.19120532663431E-05;1;1;45.3777
P1;C3;H2;7.84087705941183E-05;2;1;45.3777
P1;C3;H2;0.000211202297909135;1;1;45.3777
P1;C3;H2;0.000268380491152603;1;1;45.3777
P1;C3;H3;0.000365088074653824;1;1;45.3777
P1;C3;H3;0.000376716622208451;1;1;45.3777
P1;C3;H3;0.000377253902374863;1;1;45.3777
TEST;C3;H1;5.60258624899834E-05;1;11;37.33827
TEST;C3;H1;5.1848194818932E-05;2;3;37.33827
TEST;C3;H1;0.000261184860416541;1;3;37.33827
TEST;C3;H2;0.000261368841926735;1;1;37.33827
TEST;C3;H2;0.000173568934593582;2;1;37.33827
TEST;C3;H2;0.000373980462600509;1;1;37.33827
TEST;C3;H3;0.00330997185284282;2;3;37.33827
TEST;C3;H3;0.00334787624979499;2;3;37.33827
TEST;C3;H3;0.00676011394165787;1;6;37.33827
P2;C3;H1;0.000170770393952413;1;1;63.3457
P2;C3;H1;5.95540232804087E-05;3;1;63.3457
P2;C3;H1;0.000191046218737598;1;1;63.3457
P2;C3;H2;0.000201504067520245;1;1;63.3457
P2;C3;H2;8.99138878295893E-05;3;1;63.3457
P2;C3;H2;0.000271567545197027;1;1;63.3457
P2;C3;H3;0.000141423270317048;2;1;63.3457
P2;C3;H3;0.000283620564432568;1;1;63.3457
P2;C3;H3;0.000141905343522333;2;1;63.3457
P3;C3;H1;0.000246570810105068;2;1;65.03066
P3;C3;H1;0.000496939241249106;1;5;65.03066
P3;C3;H1;0.000497596402075903;1;3;65.03066
P3;C3;H2;0.00052043835438785;1;1;65.03066
P3;C3;H2;0.000528442791997874;1;3;65.03066
P3;C3;H2;0.000264747335915555;2;3;65.03066
P3;C3;H3;0.000266753103646072;2;5;65.03066
P3;C3;H3;0.000276484654042647;2;1;65.03066
P3;C3;H3;0.0005960833201272;1;1;65.03066
P4;C3;H1;0.00134076265890881;2;5;65.61411
P4;C3;H1;0.00269309603261059;1;5;65.61411
P4;C3;H1;0.00132652888657714;3;7;65.61411
P4;C3;H2;0.0127398139988519;3;11;65.61411
P4;C3;H2;0.0382203643926979;1;3;65.61411
P4;C3;H2;0.0382360570052629;1;3;65.61411
P4;C3;H3;0.0383019224854893;1;3;65.61411
P4;C3;H3;0.0383207195422777;1;1;65.61411
P4;C3;H3;0.0477914554805961;3;5;65.61411
P5;C3;H1;4.03231938590487E-05;1;4;42.25974
P5;C3;H1;4.4001801877247E-05;1;1;42.25974
P5;C3;H1;3.77166880128158E-05;3;9;42.25974
P5;C3;H2;0.00011353112819798;1;1;42.25974
P5;C3;H2;0.000161959999934985;1;3;42.25974
P5;C3;H2;5.45738992325517E-05;3;3;42.25974
P5;C3;H3;0.000167350937826077;1;7;42.25974
P5;C3;H3;0.000178132951316384;1;3;42.25974
P5;C3;H3;3.61599540015134E-05;5;5;42.25974
P6;C3;H1;2.34326936821017E-06;2;1;137.5188
P6;C3;H1;1.09302748159124E-05;1;3;137.5188
P6;C3;H1;2.63879064489325E-05;1;3;137.5188
P6;C3;H2;1.89672031922402E-05;3;1;137.5188
P6;C3;H2;6.31596170069804E-05;2;1;137.5188
P6;C3;H2;0.000199554445642347;1;1;137.5188
P6;C3;H3;0.000249484598834337;1;1;137.5188
P6;C3;H3;0.000341214475844454;1;3;137.5188
P6;C3;H3;0.000420361014644932;1;1;137.5188
